"","symbol","security","gics.sector","gics.sub.industry"
"77","AVGO","Broadcom Inc.","Information Technology","Semiconductors"
"78","BR","Broadridge Financial Solutions","Information Technology","Data Processing & Outsourced Services"
"79","BF-B","Brown-Forman Corp.","Consumer Staples","Distillers & Vintners"
"80","CHRW","C. H. Robinson Worldwide","Industrials","Air Freight & Logistics"
"81","COG","Cabot Oil & Gas","Energy","Oil & Gas Exploration & Production"
"82","CDNS","Cadence Design Systems","Information Technology","Application Software"
"83","CPB","Campbell Soup","Consumer Staples","Packaged Foods & Meats"
"84","COF","Capital One Financial","Financials","Consumer Finance"
"85","CAH","Cardinal Health Inc.","Health Care","Health Care Distributors"
"86","KMX","Carmax Inc","Consumer Discretionary","Specialty Stores"
"87","CCL","Carnival Corp.","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"88","CARR","Carrier Global","Industrials","Building Products"
"89","CTLT","Catalent","Health Care","Pharmaceuticals"
"90","CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks"
"91","CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data"
"92","CBRE","CBRE Group","Real Estate","Real Estate Services"
"93","CDW","CDW","Information Technology","Technology Distributors"
"94","CE","Celanese","Materials","Specialty Chemicals"
"95","CNC","Centene Corporation","Health Care","Managed Health Care"
"96","CNP","CenterPoint Energy","Utilities","Multi-Utilities"
"97","CERN","Cerner","Health Care","Health Care Technology"
"98","CF","CF Industries Holdings Inc","Materials","Fertilizers & Agricultural Chemicals"
"99","SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage"
"100","CHTR","Charter Communications","Communication Services","Cable & Satellite"
"101","CVX","Chevron Corp.","Energy","Integrated Oil & Gas"
"102","CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants"
"103","CB","Chubb Limited","Financials","Property & Casualty Insurance"
"104","CHD","Church & Dwight","Consumer Staples","Household Products"
"105","CI","CIGNA Corp.","Health Care","Managed Health Care"
"106","CINF","Cincinnati Financial","Financials","Property & Casualty Insurance"
"107","CTAS","Cintas Corporation","Industrials","Diversified Support Services"
"108","CSCO","Cisco Systems","Information Technology","Communications Equipment"
"109","C","Citigroup Inc.","Financials","Diversified Banks"
"110","CFG","Citizens Financial Group","Financials","Regional Banks"
"111","CTXS","Citrix Systems","Information Technology","Application Software"
"112","CLX","The Clorox Company","Consumer Staples","Household Products"
"113","CME","CME Group Inc.","Financials","Financial Exchanges & Data"
"114","CMS","CMS Energy","Utilities","Multi-Utilities"
"115","KO","Coca-Cola Company","Consumer Staples","Soft Drinks"
"116","CTSH","Cognizant Technology Solutions","Information Technology","IT Consulting & Other Services"
"117","CL","Colgate-Palmolive","Consumer Staples","Household Products"
"118","CMCSA","Comcast Corp.","Communication Services","Cable & Satellite"
"119","CMA","Comerica Inc.","Financials","Diversified Banks"
"120","CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats"
"121","COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production"
"122","ED","Consolidated Edison","Utilities","Electric Utilities"
"123","STZ","Constellation Brands","Consumer Staples","Distillers & Vintners"
"124","COO","The Cooper Companies","Health Care","Health Care Supplies"
"125","CPRT","Copart Inc","Industrials","Diversified Support Services"
"126","GLW","Corning Inc.","Information Technology","Electronic Components"
"127","CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals"
"128","COST","Costco Wholesale Corp.","Consumer Staples","Hypermarkets & Super Centers"
"129","CCI","Crown Castle International Corp.","Real Estate","Specialized REITs"
"130","CSX","CSX Corp.","Industrials","Railroads"
"131","CMI","Cummins Inc.","Industrials","Industrial Machinery"
"132","CVS","CVS Health","Health Care","Health Care Services"
"133","DHI","D. R. Horton","Consumer Discretionary","Homebuilding"
"134","DHR","Danaher Corp.","Health Care","Health Care Equipment"
"135","DRI","Darden Restaurants","Consumer Discretionary","Restaurants"
"136","DVA","DaVita Inc.","Health Care","Health Care Facilities"
"137","DE","Deere & Co.","Industrials","Agricultural & Farm Machinery"
"138","DAL","Delta Air Lines Inc.","Industrials","Airlines"
"139","XRAY","Dentsply Sirona","Health Care","Health Care Supplies"
"140","DVN","Devon Energy","Energy","Oil & Gas Exploration & Production"
"141","DXCM","DexCom","Health Care","Health Care Equipment"
"142","FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production"
"143","DLR","Digital Realty Trust Inc","Real Estate","Specialized REITs"
"144","DFS","Discover Financial Services","Financials","Consumer Finance"
"145","DISCA","Discovery, Inc. (Class A)","Communication Services","Broadcasting"
"146","DISCK","Discovery, Inc. (Class C)","Communication Services","Broadcasting"
"147","DISH","Dish Network","Communication Services","Cable & Satellite"
"148","DG","Dollar General","Consumer Discretionary","General Merchandise Stores"
"149","DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores"
"150","D","Dominion Energy","Utilities","Electric Utilities"
"151","DPZ","Domino's Pizza","Consumer Discretionary","Restaurants"
"152","DOV","Dover Corporation","Industrials","Industrial Machinery"
"153","DOW","Dow Inc.","Materials","Commodity Chemicals"
"154","DTE","DTE Energy Co.","Utilities","Multi-Utilities"
"155","DUK","Duke Energy","Utilities","Electric Utilities"
"156","DRE","Duke Realty Corp","Real Estate","Industrial REITs"
"157","DD","DuPont de Nemours Inc","Materials","Specialty Chemicals"
"158","DXC","DXC Technology","Information Technology","IT Consulting & Other Services"
"159","EMN","Eastman Chemical","Materials","Diversified Chemicals"
"160","ETN","Eaton Corporation","Industrials","Electrical Components & Equipment"
"161","EBAY","eBay Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
"162","ECL","Ecolab Inc.","Materials","Specialty Chemicals"
"163","EIX","Edison Int'l","Utilities","Electric Utilities"
"164","EW","Edwards Lifesciences","Health Care","Health Care Equipment"
"165","EA","Electronic Arts","Communication Services","Interactive Home Entertainment"
"166","EMR","Emerson Electric Company","Industrials","Electrical Components & Equipment"
"167","ENPH","Enphase Energy","Information Technology","Semiconductor Equipment"
"168","ETR","Entergy Corp.","Utilities","Electric Utilities"
"169","EOG","EOG Resources","Energy","Oil & Gas Exploration & Production"
"170","EFX","Equifax Inc.","Industrials","Research & Consulting Services"
"171","EQIX","Equinix","Real Estate","Specialized REITs"
"172","EQR","Equity Residential","Real Estate","Residential REITs"
"173","ESS","Essex Property Trust, Inc.","Real Estate","Residential REITs"
"174","EL","Estée Lauder Companies","Consumer Staples","Personal Products"
"175","ETSY","Etsy","Consumer Discretionary","Internet & Direct Marketing Retail"
"176","EVRG","Evergy","Utilities","Electric Utilities"
"177","ES","Eversource Energy","Utilities","Multi-Utilities"
"178","RE","Everest Re Group Ltd.","Financials","Reinsurance"
"179","EXC","Exelon Corp.","Utilities","Multi-Utilities"
"180","EXPE","Expedia Group","Consumer Discretionary","Internet & Direct Marketing Retail"
"181","EXPD","Expeditors","Industrials","Air Freight & Logistics"
"182","EXR","Extra Space Storage","Real Estate","Specialized REITs"
