"","symbol","security","gics.sector","gics.sub.industry"
"276","KHC","Kraft Heinz Co","Consumer Staples","Packaged Foods & Meats"
"277","KR","Kroger Co.","Consumer Staples","Food Retail"
"278","LB","L Brands Inc.","Consumer Discretionary","Apparel Retail"
"279","LHX","L3Harris Technologies","Industrials","Aerospace & Defense"
"280","LH","Laboratory Corp. of America Holding","Health Care","Health Care Services"
"281","LRCX","Lam Research","Information Technology","Semiconductor Equipment"
"282","LW","Lamb Weston Holdings Inc","Consumer Staples","Packaged Foods & Meats"
"283","LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming"
"284","LEG","Leggett & Platt","Consumer Discretionary","Home Furnishings"
"285","LDOS","Leidos Holdings","Information Technology","IT Consulting & Other Services"
"286","LEN","Lennar Corp.","Consumer Discretionary","Homebuilding"
"287","LLY","Lilly (Eli) & Co.","Health Care","Pharmaceuticals"
"288","LNC","Lincoln National","Financials","Multi-line Insurance"
"289","LIN","Linde plc","Materials","Industrial Gases"
"290","LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment"
"291","LKQ","LKQ Corporation","Consumer Discretionary","Distributors"
"292","LMT","Lockheed Martin Corp.","Industrials","Aerospace & Defense"
"293","L","Loews Corp.","Financials","Multi-line Insurance"
"294","LOW","Lowe's Cos.","Consumer Discretionary","Home Improvement Retail"
"295","LUMN","Lumen Technologies","Communication Services","Alternative Carriers"
"296","LYB","LyondellBasell","Materials","Specialty Chemicals"
"297","MTB","M&T Bank Corp.","Financials","Regional Banks"
"298","MRO","Marathon Oil Corp.","Energy","Oil & Gas Exploration & Production"
"299","MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing"
"300","MKTX","MarketAxess","Financials","Financial Exchanges & Data"
"301","MAR","Marriott Int'l.","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"302","MMC","Marsh & McLennan","Financials","Insurance Brokers"
"303","MLM","Martin Marietta Materials","Materials","Construction Materials"
"304","MAS","Masco Corp.","Industrials","Building Products"
"305","MA","Mastercard Inc.","Information Technology","Data Processing & Outsourced Services"
"306","MKC","McCormick & Co.","Consumer Staples","Packaged Foods & Meats"
"307","MXIM","Maxim Integrated Products Inc","Information Technology","Semiconductors"
"308","MCD","McDonald's Corp.","Consumer Discretionary","Restaurants"
"309","MCK","McKesson Corp.","Health Care","Health Care Distributors"
"310","MDT","Medtronic plc","Health Care","Health Care Equipment"
"311","MRK","Merck & Co.","Health Care","Pharmaceuticals"
"312","MET","MetLife Inc.","Financials","Life & Health Insurance"
"313","MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services"
"314","MGM","MGM Resorts International","Consumer Discretionary","Casinos & Gaming"
"315","MCHP","Microchip Technology","Information Technology","Semiconductors"
"316","MU","Micron Technology","Information Technology","Semiconductors"
"317","MSFT","Microsoft Corp.","Information Technology","Systems Software"
"318","MAA","Mid-America Apartments","Real Estate","Residential REITs"
"319","MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings"
"320","TAP","Molson Coors Beverage Company","Consumer Staples","Brewers"
"321","MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats"
"322","MNST","Monster Beverage","Consumer Staples","Soft Drinks"
"323","MCO","Moody's Corp","Financials","Financial Exchanges & Data"
"324","MS","Morgan Stanley","Financials","Investment Banking & Brokerage"
"325","MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals"
"326","MSI","Motorola Solutions Inc.","Information Technology","Communications Equipment"
"327","MSCI","MSCI Inc","Financials","Financial Exchanges & Data"
"328","NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data"
"329","NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals"
"330","NFLX","Netflix Inc.","Communication Services","Movies & Entertainment"
"331","NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties"
"332","NEM","Newmont Corporation","Materials","Gold"
"333","NWSA","News Corp. Class A","Communication Services","Publishing"
"334","NWS","News Corp. Class B","Communication Services","Publishing"
"335","NEE","NextEra Energy","Utilities","Multi-Utilities"
"336","NLSN","Nielsen Holdings","Industrials","Research & Consulting Services"
"337","NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"338","NI","NiSource Inc.","Utilities","Multi-Utilities"
"339","NSC","Norfolk Southern Corp.","Industrials","Railroads"
"340","NTRS","Northern Trust Corp.","Financials","Asset Management & Custody Banks"
"341","NOC","Northrop Grumman","Industrials","Aerospace & Defense"
"342","NLOK","NortonLifeLock","Information Technology","Application Software"
"343","NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"344","NOV","NOV Inc.","Energy","Oil & Gas Equipment & Services"
"345","NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders"
"346","NUE","Nucor Corp.","Materials","Steel"
"347","NVDA","Nvidia Corporation","Information Technology","Semiconductors"
"348","NVR","NVR, Inc.","Consumer Discretionary","Homebuilding"
"349","ORLY","O'Reilly Automotive","Consumer Discretionary","Specialty Stores"
"350","OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production"
"351","ODFL","Old Dominion Freight Line","Industrials","Trucking"
"352","OMC","Omnicom Group","Communication Services","Advertising"
"353","OKE","ONEOK","Energy","Oil & Gas Storage & Transportation"
"354","ORCL","Oracle Corp.","Information Technology","Application Software"
"355","OTIS","Otis Worldwide","Industrials","Industrial Machinery"
"356","PCAR","PACCAR Inc.","Industrials","Construction Machinery & Heavy Trucks"
"357","PKG","Packaging Corporation of America","Materials","Paper Packaging"
"358","PH","Parker-Hannifin","Industrials","Industrial Machinery"
"359","PAYX","Paychex Inc.","Information Technology","Data Processing & Outsourced Services"
"360","PAYC","Paycom","Information Technology","Application Software"
"361","PYPL","PayPal","Information Technology","Data Processing & Outsourced Services"
"362","PNR","Pentair plc","Industrials","Industrial Machinery"
"363","PBCT","People's United Financial","Financials","Thrifts & Mortgage Finance"
"364","PEP","PepsiCo Inc.","Consumer Staples","Soft Drinks"
"365","PKI","PerkinElmer","Health Care","Health Care Equipment"
"366","PRGO","Perrigo","Health Care","Pharmaceuticals"
"367","PFE","Pfizer Inc.","Health Care","Pharmaceuticals"
"368","PM","Philip Morris International","Consumer Staples","Tobacco"
"369","PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing"
"370","PNW","Pinnacle West Capital","Utilities","Multi-Utilities"
"371","PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production"
"372","PNC","PNC Financial Services","Financials","Regional Banks"
"373","POOL","Pool Corporation","Consumer Discretionary","Distributors"
"374","PPG","PPG Industries","Materials","Specialty Chemicals"
"375","PPL","PPL Corp.","Utilities","Electric Utilities"
"376","PFG","Principal Financial Group","Financials","Life & Health Insurance"
"377","PG","Procter & Gamble","Consumer Staples","Personal Products"
"378","PGR","Progressive Corp.","Financials","Property & Casualty Insurance"
"379","PLD","Prologis","Real Estate","Industrial REITs"
"380","PRU","Prudential Financial","Financials","Life & Health Insurance"
"381","PEG","Public Service Enterprise Group (PSEG)","Utilities","Electric Utilities"
"382","PSA","Public Storage","Real Estate","Specialized REITs"
"383","PHM","PulteGroup","Consumer Discretionary","Homebuilding"
"384","PVH","PVH Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"385","QRVO","Qorvo","Information Technology","Semiconductors"
"386","PWR","Quanta Services Inc.","Industrials","Construction & Engineering"
"387","QCOM","QUALCOMM Inc.","Information Technology","Semiconductors"
"388","DGX","Quest Diagnostics","Health Care","Health Care Services"
"389","RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"390","RJF","Raymond James Financial, Inc.","Financials","Investment Banking & Brokerage"
"391","RTX","Raytheon Technologies","Industrials","Aerospace & Defense"
"392","O","Realty Income Corporation","Real Estate","Retail REITs"
"393","REG","Regency Centers Corporation","Real Estate","Retail REITs"
"394","REGN","Regeneron Pharmaceuticals","Health Care","Biotechnology"
"395","RF","Regions Financial Corp.","Financials","Regional Banks"
"396","RSG","Republic Services Inc","Industrials","Environmental & Facilities Services"
"397","RMD","ResMed","Health Care","Health Care Equipment"
"398","RHI","Robert Half International","Industrials","Human Resource & Employment Services"
"399","ROK","Rockwell Automation Inc.","Industrials","Electrical Components & Equipment"
"400","ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services"
"401","ROP","Roper Technologies","Industrials","Industrial Conglomerates"
"402","ROST","Ross Stores","Consumer Discretionary","Apparel Retail"
"403","RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"404","SPGI","S&P Global Inc.","Financials","Financial Exchanges & Data"
"405","CRM","Salesforce.com","Information Technology","Application Software"
"406","SBAC","SBA Communications","Real Estate","Specialized REITs"
"407","SLB","Schlumberger Ltd.","Energy","Oil & Gas Equipment & Services"
"408","STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals"
"409","SEE","Sealed Air","Materials","Paper Packaging"
"410","SRE","Sempra Energy","Utilities","Multi-Utilities"
"411","NOW","ServiceNow","Information Technology","Systems Software"
"412","SHW","Sherwin-Williams","Materials","Specialty Chemicals"
"413","SPG","Simon Property Group Inc","Real Estate","Retail REITs"
"414","SWKS","Skyworks Solutions","Information Technology","Semiconductors"
"415","SLG","SL Green Realty","Real Estate","Office REITs"
"416","SNA","Snap-on","Industrials","Industrial Machinery"
"417","SO","Southern Company","Utilities","Electric Utilities"
"418","LUV","Southwest Airlines","Industrials","Airlines"
"419","SWK","Stanley Black & Decker","Industrials","Industrial Machinery"
"420","SBUX","Starbucks Corp.","Consumer Discretionary","Restaurants"
"421","STT","State Street Corp.","Financials","Asset Management & Custody Banks"
"422","STE","STERIS plc","Health Care","Health Care Equipment"
"423","SYK","Stryker Corp.","Health Care","Health Care Equipment"
"424","SIVB","SVB Financial","Financials","Regional Banks"
"425","SYF","Synchrony Financial","Financials","Consumer Finance"
"426","SNPS","Synopsys Inc.","Information Technology","Application Software"
"427","SYY","Sysco Corp.","Consumer Staples","Food Distributors"
